ShowName,SeasonNo,EpisodeNo,EpisodeName
Family Guy,1,1,Death Has a Shadow
Family Guy,1,2,I Never Met the Dead Man
Family Guy,1,3,Chitty Chitty Death Bang
Family Guy,1,4,Mind Over Murder
Family Guy,1,5,A Hero Sits Next Door
Family Guy,1,6,The Son Also Draws
Family Guy,1,7,Brian: Portrait of a Dog
Family Guy,2,1,"Peter, Peter, Caviar Eater"
Family Guy,2,2,Holy Crap
Family Guy,2,3,Da Boom
Family Guy,2,4,Brian in Love
Family Guy,2,5,Love Thy Trophy
Family Guy,2,6,Death Is a Bitch
Family Guy,2,7,The King Is Dead
Family Guy,2,8,"I Am Peter, Hear Me Roar"
Family Guy,2,9,"If I'm Dyin', I'm Lyin'"
Family Guy,2,10,Running Mates
Family Guy,2,11,"A Picture is Worth 1,000 Bucks"
Family Guy,2,12,Fifteen Minutes of Shame
Family Guy,2,13,Road to Rhode Island
Family Guy,2,14,Let's Go to the Hop
Family Guy,2,15,Dammit Janet
Family Guy,2,16,There's Something About Paulie
Family Guy,2,17,He's Too Sexy for His Fat
Family Guy,2,18,E. Peterbus Unum
Family Guy,2,19,The Story on Page One
Family Guy,2,20,Wasted Talent
Family Guy,3,1,The Thin White Line
Family Guy,3,2,Brian Does Hollywood
Family Guy,3,3,Mr. Griffin Goes to Washington
Family Guy,3,4,"One If by Clam, Two If by Sea"
Family Guy,3,5,And the Wiener Is...
Family Guy,3,6,Death Lives
Family Guy,3,7,Lethal Weapons
Family Guy,3,8,The Kiss Seen Around the World
Family Guy,3,9,Mr. Saturday Knight
Family Guy,3,10,A Fish Out of Water
Family Guy,3,11,Emission Impossible
Family Guy,3,12,To Love and Die in Dixie
Family Guy,3,13,Screwed the Pooch
Family Guy,3,14,"Peter Griffin: Husband, Father... Brother?"
Family Guy,3,15,"Ready, Willing, and Disabled"
Family Guy,3,16,A Very Special Family Guy Freakin' Christmas
Family Guy,3,17,Brian Wallows and Peter's Swallows
Family Guy,3,18,From Method to Madness
Family Guy,3,19,"Stuck Together, Torn Apart"
Family Guy,3,20,Road to Europe
Family Guy,3,21,Family Guy Viewer Mail #1
Family Guy,3,22,When You Wish Upon a Weinstein
Family Guy,4,1,North by North Quahog
Family Guy,4,2,Fast Times at Buddy Cianci Jr. High
Family Guy,4,3,Blind Ambition
Family Guy,4,4,Don't Make Me Over
Family Guy,4,5,The Cleveland–Loretta Quagmire
Family Guy,4,6,Petarded
Family Guy,4,7,Brian the Bachelor
Family Guy,4,8,8 Simple Rules for Buying My Teenage Daughter
Family Guy,4,9,Breaking Out Is Hard to Do
Family Guy,4,10,Model Misbehavior
Family Guy,4,11,Peter's Got Woods
Family Guy,4,12,Perfect Castaway
Family Guy,4,13,Jungle Love
Family Guy,4,14,PTV
Family Guy,4,15,Brian Goes Back to College
Family Guy,4,16,The Courtship of Stewie's Father
Family Guy,4,17,The Fat Guy Strangler
Family Guy,4,18,"The Father, the Son, and the Holy Fonz"
Family Guy,4,19,Brian Sings and Swings
Family Guy,4,20,Patriot Games
Family Guy,4,21,I Take Thee Quagmire
Family Guy,4,22,Sibling Rivalry
Family Guy,4,23,Deep Throats
Family Guy,4,24,Peterotica
Family Guy,4,25,You May Now Kiss the... Uh... Guy Who Receives
Family Guy,4,26,Petergeist
Family Guy,4,27,The Griffin Family History
Family Guy,4,28,Stewie B. Goode
Family Guy,4,29,"Bango Was His Name, Oh!"
Family Guy,4,30,Stu and Stewie's Excellent Adventure
Family Guy,5,1,Stewie Loves Lois
Family Guy,5,2,Mother Tucker
Family Guy,5,3,Hell Comes to Quahog
Family Guy,5,4,Saving Private Brian
Family Guy,5,5,Whistle While Your Wife Works
Family Guy,5,6,Prick Up Your Ears
